stock_code,corp_name,revenue,operating_profit,net_income,cash_survival_years,inventory_months,cash_flow_match,cash_to_revenue,cash_to_op_profit_x3,happy_debt_growth,sga_ratio,sga_ratio_change,current_ratio,quick_ratio,debt_ratio,cash_months,revenue_growth,gross_margin,operating_margin,net_margin,roa,roe,inventory_turnover,receivable_turnover,debt_growth,revenue_minus_debt_growth,current_price,low_52w,high_52w,pct_from_low,range_position,bottom_dwell_ratio,market
000020,동화약품,464874735245.0,13411192945.0,0.0,,4.27721410184158,,5.519003313759016,63.76875432389061,,38.12798331008168,-3.436131172940428,177.45283419078277,110.79520046508733,1227.4844012339993,1.7369929908565707,28.735450818444225,46.08935373463156,2.884904669627181,0.0,0.0,0.0,5.204101015837537,,38.022585527873474,-9.28713470942925,4910.0,4695.0,7560.0,4.58,7.5,25.83,KOSPI
000040,KR모터스,16024969823.0,-4937030424.0,0.0,,,,46.519873237454895,-50.33252115658152,,29.197477129002642,0.3425200085099789,39.52451105521066,,-698.0220868189812,19.119408035941074,-79.56162114026529,-1.6108830646875658,-30.80836019369021,0.0,0.0,-0.0,,,-54.69430896842267,-24.86731217184262,,,,,,,KOSPI
000050,경방,397276756397.0,,0.0,,2.41386524336251,,5.442170247784288,,73.82563272540288,23.032970481806668,-1.3173159832919588,58.953902839642105,36.814438305721545,3317.2827656995537,2.8353287312635396,0.9549215647925611,31.452658271588625,,0.0,0.0,0.0,7.2523308296724185,7.508214920091324,-3.0063844648453886,3.9613060296379494,8320.0,6200.0,15210.0,34.19,23.53,27.5,KOSPI
000070,삼양홀딩스,3553264096673.0,127538574846.0,,,2.1552335301689065,,8.466421276163453,78.6257041166436,,14.395879824636479,0.8827259667326732,188.7178963791339,135.7870266937794,-19553.598135866723,7.057370341484283,10.664161592987693,17.98521547141312,3.589335646776641,,,,6.788827330518528,,-2.0385606721856115,12.702722265173303,54800.0,51500.0,75500.0,6.41,13.75,30.83,KOSPI
000080,하이트진로,2599183408023.0,208141871425.0,0.0,,-0.18087702433090533,,9.971482926060082,41.50648593250327,,37.592403644389286,-1.693736523727921,61.88809849529068,63.17722639488693,199.3955181264265,3.183031238029922,3.1347684591586122,45.60037533205551,8.007971687666227,0.0,0.0,0.0,-121.95565360837162,,2.210566452314242,0.9242020068443701,14710.0,13830.0,22200.0,6.36,10.51,24.17,KOSPI
000100,유한양행,2067791451854.0,54880319609.0,-15523994164.0,20.59517840849402,-0.5105086568587087,,15.46187982996722,194.19191414935332,-28.455662597068937,19.815725370642017,-1.1195835265655596,219.70297078064993,229.1743303642415,1126.3773611131403,9.36339974889323,11.23235698549169,33.33926103272601,2.6540548641785815,-0.7507524102627008,-0.5276592954779437,-22.095455430753404,-35.26208689961209,-42.903527040244825,11.095991102220392,0.1363658832712975,70200.0,65000.0,136400.0,8.0,7.28,30.83,KOSPI
000120,CJ대한통운,12116761147160.0,530663067133.0,0.0,,0.04028158361402014,,2.2875611713941124,17.410816793821382,-19.582061776439012,7.064581293687003,,92.87513234434125,91.67321762689933,202.3911264335045,3.885684503518937,2.964570329012373,11.444159802234067,4.3795785085470635,0.0,0.0,0.0,336.40117360414547,7.571744606220839,3.834132803867058,-0.8695624748546851,72100.0,69500.0,154000.0,3.74,3.08,37.5,KOSPI
000140,하이트진로홀딩스,,,0.0,,-0.18092818411719241,,,,,,,49.04300173602151,50.042262124432526,732.9690587422547,3.2319742233026547,,,,,0.0,0.0,,,1.6842142090811405,,8250.0,7310.0,12850.0,12.86,16.97,35.83,KOSPI
000150,두산,,1003759000000.0,0.0,,2.4808759392757054,,,130.04652179125335,,,,108.05945378690565,79.60928357437516,946.6039143857124,23.995680109559775,,,,,0.0,0.0,,,6.870644481243337,,1215000.0,468000.0,2489000.0,159.62,36.96,14.17,KOSPI
000180,성창기업지주,143105590875.0,-7293464621.0,-3526171396.0,2.9752442217927855,,-0.027802765660004804,7.331104960227501,-47.94804488753183,,19.972350932791606,2.0847856510846157,87.5143804573823,,-4318.292745937732,4.404752340811873,-13.923416202677918,14.875789312518709,-5.096561620272895,-2.464034685465254,-0.4898186033446659,107.59736343920714,,7.119892540067039,-27.711426206923544,13.788010004245626,5190.0,4395.0,9245.0,18.09,16.39,30.0,KOSPI
000210,DL,5615368498981.0,412518392958.0,89366024952.0,,2.8728003619228004,6.2339629289680305,17.82792462689967,80.89365877260218,,,,108.97301569598574,69.3229117104534,,,11.908621181538203,22.086678353042426,7.346239040819105,1.5914543269638834,,,5.361225559027907,,,,46000.0,33900.0,77700.0,35.69,27.63,23.33,KOSPI
000220,유유제약,133147218082.0,11697341742.0,8720350799.0,,,2.861135859679078,31.418207804564922,119.20790947114088,,30.04742053067989,-5.323337255543326,158.1073268038054,,738.6954258536845,12.547449564591565,-2.9607045909025382,38.83268988177973,8.785269351099831,6.549405180684651,4.198786657629653,88.69903852089043,,6.748289852022522,-6.722279427053753,3.7615748361512145,3600.0,3535.0,5100.0,1.84,4.15,30.83,KOSPI
000230,일동홀딩스,,-2411599959.0,63038086166.0,,2.690976953769405,0.27465984010692307,,-1095.9516013299674,,,,72.42208675521313,46.630534811639954,1424.4969223903777,5.306938379888232,,,,,7.375451005084196,149.4873727450038,,,-15.046572503718824,,6080.0,5660.0,17170.0,7.42,3.65,39.17,KOSPI
000240,한국앤컴퍼니,1390995724547.0,418268299588.0,0.0,,2.974447142119019,,12.904439473921252,14.305028736802841,,8.125788308861253,-1.2518962754397247,154.719316799626,110.75402773836917,15.350824045803382,19.057015492045984,27.65316148159028,38.19549249319408,30.069704184332828,0.0,0.0,0.0,6.527619638626688,4.712116391050888,9.490282529403762,18.162878952186517,24700.0,18540.0,36450.0,33.23,34.39,5.0,KOSPI
000270,기아,107448752000000.0,12667139000000.0,0.0,,1.8025235521897904,,17.544778928656147,49.60774489014449,29.329390919915454,11.264562663324371,0.22243415352529716,154.93522053442115,108.90003905494738,2365.3967897991224,18.690237112298192,7.654997444103413,23.05356789997896,11.789005236654587,0.0,0.0,0.0,8.651906372482866,30.171258488836223,8.353414045974311,-0.6984166018708979,146800.0,94400.0,212500.0,55.51,44.37,0.0,KOSPI
000300,DH오토넥스,32380378302.0,-8564101590.0,113530380434.0,,,-0.02162801952757878,12.861424530493428,-16.209436853881755,,29.937141266818546,-36.563633257862776,91.85684445607211,,152.50999184792335,5.155371816913724,-1.2500564868313861,3.488711572372907,-26.448429694445636,350.61474382770785,171.85523551559234,433.9516411906517,,2.8796866711758233,-80.27272154224201,79.02266505541063,,,,,,,KOSPI
000320,노루홀딩스,1247877697168.0,72554697963.0,0.0,,2.0124373734626624,,10.691620715618741,61.29552559276866,,18.85322724173398,0.43584664005384965,172.30267677589876,128.373083557161,3283.305323955159,6.805171705744788,2.7384089145784642,24.667474753942862,5.814247512208888,0.0,0.0,0.0,7.915463418363326,5.3443614258246415,-10.591785046982743,13.330193961561207,15860.0,15150.0,37150.0,4.69,3.23,45.83,KOSPI
000370,한화손해보험,,435735704686.0,0.0,,,,,22.73404183415531,,,,,,24469.905114711702,,,,,,0.0,0.0,,,14.296997832019201,,5570.0,5090.0,10800.0,9.43,8.41,45.83,KOSPI
000390,SP삼화,628348259134.0,18981518300.0,0.0,,2.4362719607351346,,9.634130405395181,106.30672377948467,,16.697912189269676,-0.1861394172667694,119.41154874239382,79.91158340535645,1643.8775791657847,6.9235940130907245,-0.4804725565302524,19.71877172441992,3.0208595351502434,0.0,0.0,0.0,6.135380062463523,,2.8925298618987147,-3.373002418428967,5820.0,5570.0,14300.0,4.49,2.86,46.67,KOSPI
000430,대원강업,1367585047000.0,22564927000.0,23615769000.0,,,2.334966225321733,1.471503877886433,29.727649166927655,,,,98.18168202910209,,381.8048118800376,,23.566891131822583,10.85136623316707,1.64998345437452,1.7268226975576166,1.813320628375462,14.511688964565565,,,52.24659214006338,-28.679701008240794,3510.0,3455.0,6200.0,1.59,2.0,47.5,KOSPI
000480,시알홀딩스,810831515000.0,17438364000.0,2470935000.0,,,32.81083355086233,22.95387248237385,355.7620275235299,,12.688548865789953,-0.07784228633891921,74.12831653070381,,3563.998900416694,21.70827197829747,-0.7434076980729616,14.83922550790345,2.1506766421134973,0.30474086839113546,0.14554641171561133,10.539173295054072,,8.260682698920139,5.0898777888089555,-5.833285486881917,4610.0,4510.0,5670.0,2.22,8.62,32.5,KOSPI
000490,대동,,18456574878.0,30721182361.0,,7.895091398630126,8.315847289273542,,112.81727864986009,,,,102.97240901468263,36.825099831371524,903.534515221281,2.58455158995995,,,,,1.4405321609058181,18.125526729250392,,,11.026879508232032,,6560.0,6300.0,13640.0,4.13,3.54,26.67,KOSPI
000500,가온전선,,45011778000.0,,,,,,55.485098440975456,653.5820667235269,,,,,659.3545688894527,12.553975320734898,,,,,,,,,25.14587512821053,,209500.0,29229.0,352860.0,616.75,55.7,50.0,KOSPI
000520,삼일제약,219699586442.0,113040731.0,0.0,,,,2.3381905743168754,1514.7917559025693,,36.7780136096575,2.349080512689845,85.64181195521331,,254.14883267959257,0.7629092530553284,11.894207904004286,36.82946601920941,0.05145240955191439,0.0,0.0,0.0,,,-9.843593202584412,21.737801106588698,6270.0,5500.0,12860.0,14.0,10.46,29.17,KOSPI
000590,CS홀딩스,,22314081505.0,31019979580.0,,,0.9519549069606448,,132.49078880396127,,,,1125.1337323860562,,80.76483623259185,,,,,,7.518413030822546,71.39672342015979,,,-4.393787459142166,,68600.0,65100.0,100300.0,5.38,9.94,28.33,KOSPI
000640,동아쏘시오홀딩스,,82094664924.0,0.0,,2.3809419793564213,,,47.664915594972385,,,,63.868024630631204,37.76704266094747,311.8048750132321,4.321534085145806,,,,,0.0,0.0,,,3.9523967285094996,,77000.0,74500.0,121887.0,3.36,5.28,27.5,KOSPI
000660,SK하이닉스,66192960000000.0,23467319000000.0,0.0,,4.649152007631993,,20.52654391040981,19.299359817511892,,12.630991271579333,-9.333626687819024,169.34962983233945,116.02016771662463,1023.8075711318812,19.501123991681684,102.0189454716376,48.083883845049385,35.452892573470045,0.0,0.0,0.0,4.97170446277461,5.084332859205995,-1.8940336087669156,103.91297908040451,1830000.0,245000.0,2987000.0,646.94,57.8,25.0,KOSPI
000670,영풍,2787414358375.0,-160701935806.0,-252140554081.0,0.8358861666350318,2.566903925579041,,7.561157908609928,-43.71671072223035,,4.239108052126326,0.41311554113232196,167.69222956614246,102.45512332889442,94948.81969207025,21.404006170073263,-25.900784801440423,-1.5285117677602233,-5.7652689964503745,-9.045678957756115,-4.4221936075073005,-13948.006482262856,4.604512026917383,,33.536302664071286,-59.43708746551171,34100.0,32700.0,71797.0,4.28,3.58,18.33,KOSPI
000680,LS네트웍스,1933813959649.0,25619240717.0,0.0,,,,7.8163971892847215,196.66804552316975,,,,86.34637517661923,,-17571.553137076688,,409.3920456914184,14.669717342121716,1.3248037945516777,0.0,0.0,-0.0,,,1063.5183586771407,-654.1263129857223,2855.0,2560.0,4965.0,11.52,12.27,40.0,KOSPI
000700,유수홀딩스,435867054050.0,18315439948.0,0.0,,,,43.34943074530366,343.87359749195724,,15.664468692365945,-0.5329997079142164,490.44689361598614,,19.65555971392869,33.2084783186524,27.531117059924682,19.86653897453482,4.202070282168875,0.0,0.0,0.0,,,-1.5598865676236293,29.09100362754831,5850.0,5000.0,7200.0,17.0,38.64,12.5,KOSPI
000720,현대건설,32670268000000.0,-1263420000000.0,-168663000000.0,31.995007796612178,0.2833361221588909,0.7043631383290941,16.517691253711174,-142.3747711238807,,3.203178498566342,0.10929648837706152,143.89652732669452,138.601090101287,3084.407136706212,61.87987810646477,10.181358647430537,-0.6640074088158688,-3.8671859073822104,-0.516258391268783,-0.6245532141089638,-30.00843338338801,42.073155435016375,6.1419387198590165,30.74891130388612,-20.567552656455582,98600.0,54100.0,198400.0,82.26,30.84,0.0,KOSPI
000760,이화산업,49487533689.0,772077303.0,-629149624.0,31.12796796966694,,-1.4250178380461052,39.573904545485824,845.5176387089484,,21.579086030253514,-0.6783511497599655,124.80206621704922,,30.273381188933072,22.006810384834957,4.873482638461326,23.139231071734166,1.5601450414806506,-1.2713295189730707,-0.2332251791782518,-0.30383032669945614,,4.377942867635793,6.840322481511506,-1.9668398430501801,11450.0,10380.0,25250.0,10.31,7.2,30.83,KOSPI
000810,삼성화재해상보험,,2649596688033.0,,,,,,,,,,,,7630.401728143233,,,,,,,,,,4.054680246429941,,630000.0,412000.0,757000.0,52.91,63.19,42.5,KOSPI
000850,화천기공,222200718833.0,-741138094.0,8654343281.0,,3.1333720519167882,1.4906971221401912,6.942929085479103,-693.8535234253749,,14.861025746643922,1.4081316033865896,291.069987190163,210.43843955248812,34.47036428200017,5.606285221904307,-1.5593230146528585,15.492680663590821,-0.33354441780947575,3.8948313607861764,2.0182241742540645,3.2588470055222607,4.531844034386145,5.43335172358327,-22.644895999483765,21.085572984830907,32250.0,29800.0,44850.0,8.22,16.28,15.83,KOSPI
000860,강남제비스코,643137092555.0,20529999372.0,0.0,,1.8724178194010155,,8.80129714166024,91.90519284866672,-0.9551083991105,10.181514936863973,0.2306253589143079,162.17212760880602,118.11208439333247,1915.5413339928134,10.373266292378856,0.6806489036347053,13.373680279161396,3.192165342297421,0.0,0.0,0.0,7.398243419092408,5.2111402883885525,-9.818867032056303,10.499515935691008,12250.0,11110.0,18880.0,10.26,14.67,23.33,KOSPI
000880,한화,55646829000000.0,2416109000000.0,0.0,,3.2880199511909067,,15.893685514407299,122.01894312991122,,8.099315057107747,0.5942204216942377,141.5124551182961,118.80283431198546,11848.736219706218,23.548192017238918,4.727627440789149,12.441177915097372,4.341862857989626,0.0,0.0,0.0,4.168184089483016,,20.355682054222342,-15.628054613433193,90900.0,74100.0,166400.0,22.67,18.2,8.33,KOSPI
000890,보해양조,,2300656654.0,6685688838.0,,4.382569711719663,0.4920399155136391,,264.0454454067066,,,,132.45297823548452,81.18005689563354,59.49715118874907,8.849696137620812,,,,,4.815678399325822,7.680869857336638,,,-18.168898929011178,,1442.0,1230.0,4390.0,17.24,6.71,30.0,KOSPI
000910,유니온,218159407914.0,,,,3.5745385560309817,,3.5340616495619077,,,16.786408455708823,3.257309973042135,77.77542200927475,41.18400488902598,3137.3365166216886,2.526373637734299,-2.8890962460925196,11.534915533379165,,,,,3.7948041222682063,,-1.395571408253515,-1.4935248378390047,2740.0,2610.0,6150.0,4.98,3.67,30.0,KOSPI
000950,전방,57235842614.0,-8482983755.0,8913315702.0,,,1.1305615997354248,37.12132048843641,-83.48752901350647,,8.334241617040869,1.3689979118364013,579.0574456012927,,47.74313825787534,53.44887589416914,-39.60706262291965,-6.486862375800579,-14.821103992841447,15.572961443254416,3.842377008307836,12.78065856073204,,0.8339244284448412,-29.396480459560248,-10.210582163359401,25400.0,22750.0,46500.0,11.65,11.16,37.5,KOSPI
000970,한국주철관공업,419416899335.0,15445910306.0,13647861616.0,,2.957062871966203,1.78289120806103,12.018204217074004,108.78042252910474,32.272566652487754,14.53443453224083,2.0110249001590326,416.7631661837614,274.9383026658882,20.904461529765424,9.922536049474594,-8.088257652317896,18.264159526346376,3.682710527518091,3.25400851459232,3.176093008782073,3.870023150877522,4.96487312599004,9.87254471904524,-1.1288177223381308,-6.959439929979766,6530.0,6130.0,7880.0,6.53,22.86,11.67,KOSPI
000990,DB하이텍,1131167709804.0,190838683363.0,0.0,,1.1348591944034538,,38.47005490162032,76.00849599296866,,17.327054314869102,2.028309763841998,376.9314718600541,354.716269519121,22.4653811468501,26.64276630236507,-1.9975270266664946,34.19799941955805,16.870945104688946,0.0,0.0,0.0,16.069418738625604,11.263549655438458,30.618943004069614,-32.61647003073611,105900.0,42450.0,230500.0,149.47,33.74,17.5,KOSPI
001020,페이퍼코리아,290184364896.0,2037606335.0,0.0,,4.806045987475906,,25.19821752154226,1196.195853667354,-25.399014197444604,10.97790262284359,2.226813763429032,171.06632123705396,97.0980612070329,71.91620466773738,27.54429699797997,-19.854446493958296,11.680079094594667,0.7021764717510757,0.0,0.0,0.0,2.827057569756222,,4.971215280781778,-24.825661774740073,1830.0,1725.0,5200.0,6.09,3.02,30.83,KOSPI
001040,CJ,43646656090000.0,2547483645000.0,100471747000.0,,1.1923101788521382,,7.231708677731147,41.30087380142271,,23.086165229296036,0.45562328963436727,81.02656702716678,62.79287684107121,2996.5836428695725,3.7589830650025178,5.547324812790292,28.922771909420746,5.836606680124714,0.23019345810324138,0.21153285751408812,10.119860435661371,14.159943219526637,,1.4999959203463833,4.047328892443908,131900.0,125400.0,235000.0,5.18,5.93,10.0,KOSPI
001060,JW중외제약,719375756340.0,82488136816.0,65040120873.0,,3.386910001953933,1.2206599760480736,4.350207757378092,12.645996206220497,,33.502663967604015,2.0757791949752757,146.87975987857288,93.32013857566612,167.62515101270677,1.5581594687221059,-3.8944437349491117,44.96929126064465,11.466627293040643,9.041188877966574,10.757572010808632,39.62883841289589,6.438318887792366,5.308910991509116,-27.525558814266393,23.631115079317283,23400.0,20700.0,39250.0,13.04,14.56,12.5,KOSPI
001070,대한방직,133909117274.0,2418669755.0,1115640400.0,,3.281229629487833,4.685814715028248,15.695437963342332,289.6581531445991,,9.081454368127014,-3.5246141286105104,166.7147553972453,90.8587174712175,145.859661461736,20.73954764570962,-10.371118466469905,10.887656816651118,1.8062024485241028,0.8331325175695221,0.6017526083245269,3.0668115644758145,4.103994385910017,8.469639537002077,6.585440803858379,-16.956559270328285,6140.0,4805.0,9460.0,27.78,28.68,25.0,KOSPI
001120,LX인터내셔널,16637572685167.0,489185373375.0,175694960423.0,,0.6960600390897708,,7.503838374981492,85.07044784826778,14.377412087377916,6.117850271905714,-0.375883211156693,134.73170345083264,108.89651274240752,210.92837489430235,14.718578666968343,14.628438994446244,9.058095117904953,2.9402448459992394,1.0560131802137125,1.9672780665738177,6.604415401573831,18.957038745609513,10.52212778082522,14.04093514563795,0.5875038488082929,37050.0,28450.0,57700.0,30.23,29.4,5.0,KOSPI
001130,대한제분,1374735359151.0,72306706525.0,48742551364.0,,2.1303259169243107,1.559302799794245,7.3164911277263585,46.36840085606891,,15.01798170176569,0.9176755789281241,167.40533309365983,126.61150741656519,1462.4773213582973,5.8461846123033805,-4.628866260231082,20.277663577530834,5.259681875765144,3.5455952332601752,3.123596703937175,136.26604954503355,7.065699725468553,,28.409532771540434,-33.03839903177152,10960.0,10500.0,17270.0,4.38,6.79,32.5,KOSPI
001200,유진증권,,58338142158.0,0.0,,,,,267.97660753622154,,,,,,,22.432559669835353,,,,,0.0,,,,11.810253409558594,,4110.0,3105.0,6920.0,32.37,26.34,5.0,KOSPI
001210,금호전기,53171559352.0,-4957267533.0,-12196816073.0,0.20492801105142974,,0.1191073438596732,4.700763508651895,-16.80676731930309,,35.76689048199724,-7.333226009220041,94.93053099612922,,1525.594078485455,1.5771335261088884,-0.3774086559973201,26.4437342807986,-9.323156201198634,-22.938608951180267,-36.58141462741786,-761.7956136403765,,6.996488877724778,-46.61843999840935,46.24103134241203,,,,,,,KOSPI
001230,동국홀딩스,1999426088314.0,58003101705.0,0.0,,1.4926243969523592,,11.38716214961402,130.84236534795153,55.59789670349756,5.550735692940037,-0.613291929932136,167.3693112137421,130.58257193065006,629.255218846986,24.617627888347805,8.598729619190246,8.451723233515276,2.9009875405752386,0.0,0.0,0.0,8.781739219813295,5.0968850251424636,13.244764472042927,-4.646034852852681,1626.0,1510.0,2667.0,7.68,10.03,32.5,KOSPI
001250,GS글로벌,4066493928000.0,77879797000.0,54187863000.0,,,-0.39959807973973804,2.8199599219959786,49.08140639692046,,,,140.74497657828243,,164.00992677242877,,3.8299922355551907,5.011449410923601,1.915158325056277,1.3325450365703828,3.7639832212112037,10.18543960322233,,8.948359471802142,-8.451920567905422,12.281912803460612,2540.0,2200.0,5690.0,15.45,9.74,65.0,KOSPI
001260,남광토건,504249000325.0,7304140896.0,6198754619.0,,,0.018144713238890026,9.437132320010415,217.1674308247992,,3.37281788997863,-0.3754454568051666,119.61464163527904,,-20278.71409684824,33.575956821327964,-7.9305918755591485,4.821336556608076,1.4485186666294458,1.2293042951011823,1.4863922392399664,-422.7438931891448,,7.688087308310268,12.506405765399714,-20.436997640958865,7360.0,6730.0,13400.0,9.36,9.45,32.5,KOSPI
001270,부국증권,,,,,,,,,,,,,,-1506.3642069152934,,,,,,,,,,-12.986694960902758,,53900.0,39500.0,104600.0,36.46,22.12,10.0,KOSPI
001290,상상인증권,,,0.0,,,,,,,,,,,3859679629.452206,,,,,,0.0,0.0,,,-45.87412506884503,,691.0,619.0,1782.0,11.63,6.19,35.0,KOSPI
001340,PKC,245228124294.0,9748351104.0,3600645965.0,,,7.397477031319296,11.62391801065431,97.4698722648716,,19.60586635297946,2.28864840234883,45.20984992849256,,435.54729735841244,7.114555083491843,5.01290744721451,23.581083768218857,3.975217415239396,1.468284266075144,0.7755071189747682,6.2513639823848095,,8.907271043710832,17.635642310510566,-12.622734863296056,4955.0,4950.0,8200.0,0.1,0.15,15.0,KOSPI
001380,SG글로벌,99434870010.0,6154463640.0,6316098065.0,,1.5016293425361102,1.4753778375668714,16.828063311509528,90.62778853300692,,7.570725071841425,,137.61655957266666,100.09937229060401,61.78482414341748,26.673371152942597,,13.760167104984381,6.1894420331429565,6.351995094240884,3.1599184872966717,7.777366022729574,9.266390406580948,,-12.271724280876045,,1351.0,1126.0,3989.0,19.98,7.86,37.5,KOSPI
